 ep year mon day hour min sec gx gy gz
87 2019 03 06 05 15 03.975826243 -0.050000 -0.010000 -0.020000
88 2019 03 06 05 15 05.005989140 -0.060000 -0.030000 -0.010000
89 2019 03 06 05 15 06.036215603 -0.060000 -0.010000 -0.020000
90 2019 03 06 05 15 07.066374127 -0.070000 -0.020000 -0.020000
91 2019 03 06 05 15 08.107550985 -0.040000 -0.020000 -0.020000
92 2019 03 06 05 15 09.137783622 -0.030000 -0.010000 -0.020000
93 2019 03 06 05 15 10.171664039 -0.020000 -0.020000 -0.020000
94 2019 03 06 05 15 11.202399007 -0.030000 -0.070000 -0.010000
95 2019 03 06 05 15 12.246277505 -0.070000 -0.020000 -0.020000
96 2019 03 06 05 15 13.281415933 -0.070000 -0.020000 -0.020000
97 2019 03 06 05 15 14.312039577 -0.050000 -0.010000 -0.030000
98 2019 03 06 05 15 15.347637627 -0.060000 -0.020000 -0.020000
99 2019 03 06 05 15 16.377776808 -0.060000 -0.020000 -0.020000
100 2019 03 06 05 15 17.407930753 -0.050000 0.000000 -0.010000
101 2019 03 06 05 15 18.438099412 -0.050000 0.000000 -0.020000
102 2019 03 06 05 15 19.468241743 -0.050000 -0.030000 -0.020000
103 2019 03 06 05 15 20.498427225 -0.050000 -0.020000 -0.020000
104 2019 03 06 05 15 21.528599503 -0.040000 -0.070000 -0.020000
105 2019 03 06 05 15 22.558731443 -0.030000 0.000000 -0.020000
106 2019 03 06 05 15 23.588889191 -0.050000 -0.010000 -0.020000
107 2019 03 06 05 15 24.619057953 -0.050000 -0.020000 -0.020000
108 2019 03 06 05 15 25.649198356 -0.050000 -0.020000 -0.010000
109 2019 03 06 05 15 26.679352588 -0.050000 -0.020000 -0.020000
110 2019 03 06 05 15 27.709552468 -0.060000 -0.010000 -0.020000
111 2019 03 06 05 15 28.739744041 -0.050000 -0.020000 -0.020000
112 2019 03 06 05 15 29.769924598 -0.040000 -0.020000 -0.020000
113 2019 03 06 05 15 30.800110805 -0.050000 -0.010000 -0.010000
114 2019 03 06 05 15 31.830283444 -0.050000 -0.020000 -0.020000
115 2019 03 06 05 15 32.860468817 -0.040000 -0.020000 -0.020000
116 2019 03 06 05 15 33.890669423 -0.050000 -0.020000 -0.020000
117 2019 03 06 05 15 34.920880940 -0.050000 -0.020000 -0.020000
118 2019 03 06 05 15 35.951068471 -0.060000 -0.040000 -0.020000
119 2019 03 06 05 15 36.981258372 -0.070000 -0.030000 -0.020000
120 2019 03 06 05 15 38.011458662 -0.050000 -0.020000 -0.020000
121 2019 03 06 05 15 39.041652572 -0.060000 -0.020000 -0.020000
122 2019 03 06 05 15 40.071829476 -0.010000 0.000000 -0.020000
123 2019 03 06 05 15 41.102065101 -0.050000 -0.050000 -0.020000
124 2019 03 06 05 15 42.131669103 -0.050000 -0.020000 -0.010000
125 2019 03 06 05 15 43.162993132 -0.030000 0.000000 -0.030000
126 2019 03 06 05 15 44.196545191 -0.050000 -0.010000 -0.020000
127 2019 03 06 05 15 45.226746334 -0.070000 -0.020000 -0.020000
128 2019 03 06 05 15 46.256808651 -0.050000 -0.030000 -0.020000
129 2019 03 06 05 15 47.286923387 -0.050000 -0.020000 -0.020000
130 2019 03 06 05 15 48.317003045 -0.050000 -0.030000 -0.020000
131 2019 03 06 05 15 49.348262431 -0.060000 -0.020000 -0.020000
132 2019 03 06 05 15 50.378501925 -0.060000 -0.020000 -0.010000
133 2019 03 06 05 15 51.408647643 -0.030000 -0.020000 -0.010000
134 2019 03 06 05 15 52.438814376 -0.070000 -0.020000 -0.020000
135 2019 03 06 05 15 53.469076443 -0.040000 -0.020000 -0.010000
136 2019 03 06 05 15 54.499237547 -0.050000 -0.010000 -0.010000
137 2019 03 06 05 15 55.529596118 -0.070000 -0.020000 -0.020000
138 2019 03 06 05 15 56.559898777 -0.050000 -0.020000 -0.020000
139 2019 03 06 05 15 57.590215783 -0.040000 -0.020000 -0.010000
140 2019 03 06 05 15 58.620399640 -0.030000 0.000000 -0.100000
141 2019 03 06 05 15 59.650573365 -0.120000 -0.040000 -0.010000
142 2019 03 06 05 16 00.680815601 -0.050000 -0.030000 -0.020000
143 2019 03 06 05 16 01.711088850 -0.050000 -0.020000 -0.020000
144 2019 03 06 05 16 02.741324520 -0.040000 -0.020000 -0.010000
145 2019 03 06 05 16 03.771513548 -0.030000 -0.030000 -0.020000
146 2019 03 06 05 16 04.801841347 -0.040000 -0.020000 -0.010000
147 2019 03 06 05 16 05.832188127 -0.030000 -0.030000 -0.010000
148 2019 03 06 05 16 06.862472745 -0.050000 -0.010000 -0.020000
149 2019 03 06 05 16 07.892740304 -0.050000 -0.020000 -0.020000
150 2019 03 06 05 16 08.923004032 -0.050000 -0.010000 -0.020000
151 2019 03 06 05 16 09.953310388 -0.050000 -0.020000 -0.020000
152 2019 03 06 05 16 10.983635516 -0.030000 -0.010000 -0.020000
153 2019 03 06 05 16 12.013913845 -0.040000 -0.030000 -0.020000
154 2019 03 06 05 16 13.047282787 -0.050000 -0.020000 -0.020000
155 2019 03 06 05 16 14.081193090 -0.060000 -0.010000 -0.020000
156 2019 03 06 05 16 15.111476594 -0.050000 -0.020000 -0.020000
157 2019 03 06 05 16 16.142191361 -0.040000 -0.020000 -0.010000
158 2019 03 06 05 16 17.173066354 -0.050000 -0.020000 -0.020000
159 2019 03 06 05 16 18.203141914 -0.050000 -0.020000 -0.010000
160 2019 03 06 05 16 19.233217654 -0.040000 -0.020000 -0.020000
161 2019 03 06 05 16 20.268262439 -0.050000 -0.020000 -0.020000
162 2019 03 06 05 16 21.298316246 -0.040000 -0.010000 -0.020000
163 2019 03 06 05 16 22.328368722 -0.050000 -0.020000 -0.010000
